,#_diseases,cluster_size,dataset_size,p,q1,z,local_file_num,exponent,beta,dataset_num
0,4,2,801,0.33734190263329084,0.5188113154970988,2.1367161650115403,1,1.6223721012129233,0.5,1
1,4,2,801,0.33734190263329084,0.5188113154970988,2.1367161650115403,2,1.3818531010179955,0.5,1
2,4,2,801,0.33734190263329084,0.5188113154970988,2.1367161650115403,3,2.340518685396666,0.5,1
3,4,2,801,0.33734190263329084,0.5188113154970988,2.1367161650115403,4,1.398359937104503,0.5,1
4,4,2,801,0.33734190263329084,0.5188113154970988,2.1367161650115403,5,0.9429206237513624,0.5,1
5,4,2,801,0.33734190263329084,0.5188113154970988,2.1367161650115403,6,1.1426229301141697,0.5,1
6,4,2,801,0.33734190263329084,0.5188113154970988,2.1367161650115403,7,1.7384949410671071,0.5,1
7,4,2,801,0.33734190263329084,0.5188113154970988,2.1367161650115403,8,1.3207136358773153,0.5,1
8,4,2,801,0.33734190263329084,0.5188113154970988,2.1367161650115403,9,0.9673397292102259,0.5,1
9,4,2,801,0.33734190263329084,0.5188113154970988,2.1367161650115403,10,1.7880674264444645,0.5,1
10,6,4,679,0.3691983901181853,0.41673474790969744,3.0534839680505894,1,1.15635318374533,0.25,1
11,6,4,679,0.3691983901181853,0.41673474790969744,3.0534839680505894,2,1.2509645037975148,0.25,1
12,6,4,679,0.3691983901181853,0.41673474790969744,3.0534839680505894,3,2.318604114035709,0.25,1
13,6,4,679,0.3691983901181853,0.41673474790969744,3.0534839680505894,4,1.3875998496925286,0.25,1
14,6,4,679,0.3691983901181853,0.41673474790969744,3.0534839680505894,5,1.931485757146642,0.25,1
15,6,4,679,0.3691983901181853,0.41673474790969744,3.0534839680505894,6,2.0541999017175434,0.25,1
16,6,4,679,0.3691983901181853,0.41673474790969744,3.0534839680505894,7,2.238274490554549,0.25,1
17,6,4,679,0.3691983901181853,0.41673474790969744,3.0534839680505894,8,2.0905911380738464,0.25,1
18,6,4,679,0.3691983901181853,0.41673474790969744,3.0534839680505894,9,2.1242439281747543,0.25,1
19,6,4,679,0.3691983901181853,0.41673474790969744,3.0534839680505894,10,1.9882576196177548,0.25,1
20,8,2,152,0.4741618499814546,0.7241014884360111,2.011994153284376,1,2.1686385487430053,0.5,1
21,8,2,152,0.4741618499814546,0.7241014884360111,2.011994153284376,2,2.3213872469472925,0.5,1
22,8,2,152,0.4741618499814546,0.7241014884360111,2.011994153284376,3,0.9858888029566368,0.5,1
23,8,2,152,0.4741618499814546,0.7241014884360111,2.011994153284376,4,1.2062102555819298,0.5,1
24,8,2,152,0.4741618499814546,0.7241014884360111,2.011994153284376,5,2.2041824837957833,0.5,1
25,8,2,152,0.4741618499814546,0.7241014884360111,2.011994153284376,6,1.4452693733467208,0.5,1
26,8,2,152,0.4741618499814546,0.7241014884360111,2.011994153284376,7,1.1717747232558384,0.5,1
27,8,2,152,0.4741618499814546,0.7241014884360111,2.011994153284376,8,1.4222767543669392,0.5,1
28,8,2,152,0.4741618499814546,0.7241014884360111,2.011994153284376,9,2.365139176878111,0.5,1
29,8,2,152,0.4741618499814546,0.7241014884360111,2.011994153284376,10,2.111934299446145,0.5,1
30,10,2,512,0.5823940569299528,0.4125654515117343,2.5404027804977964,1,0.8892569587006849,0.5,1
31,10,2,512,0.5823940569299528,0.4125654515117343,2.5404027804977964,2,1.714697671826153,0.5,1
32,10,2,512,0.5823940569299528,0.4125654515117343,2.5404027804977964,3,0.9583917390914576,0.5,1
33,10,2,512,0.5823940569299528,0.4125654515117343,2.5404027804977964,4,1.2344594320685436,0.5,1
34,10,2,512,0.5823940569299528,0.4125654515117343,2.5404027804977964,5,1.1553774352907022,0.5,1
35,10,2,512,0.5823940569299528,0.4125654515117343,2.5404027804977964,6,1.3469196942895008,0.5,1
36,10,2,512,0.5823940569299528,0.4125654515117343,2.5404027804977964,7,1.0715906119518566,0.5,1
37,10,2,512,0.5823940569299528,0.4125654515117343,2.5404027804977964,8,1.2781925699483827,0.5,1
38,10,2,512,0.5823940569299528,0.4125654515117343,2.5404027804977964,9,1.4599412385549797,0.5,1
39,10,2,512,0.5823940569299528,0.4125654515117343,2.5404027804977964,10,1.965477495682139,0.5,1
40,12,3,185,0.6061902657789761,0.3355447106176655,3.487088236862132,1,0.9493455639870876,0.3333333333333333,1
41,12,3,185,0.6061902657789761,0.3355447106176655,3.487088236862132,2,2.1163267412751647,0.3333333333333333,1
42,12,3,185,0.6061902657789761,0.3355447106176655,3.487088236862132,3,1.2122810452925683,0.3333333333333333,1
43,12,3,185,0.6061902657789761,0.3355447106176655,3.487088236862132,4,2.208152138450973,0.3333333333333333,1
44,12,3,185,0.6061902657789761,0.3355447106176655,3.487088236862132,5,1.7887124859039054,0.3333333333333333,1
45,12,3,185,0.6061902657789761,0.3355447106176655,3.487088236862132,6,1.9051989189832423,0.3333333333333333,1
46,12,3,185,0.6061902657789761,0.3355447106176655,3.487088236862132,7,1.0300095063800012,0.3333333333333333,1
47,12,3,185,0.6061902657789761,0.3355447106176655,3.487088236862132,8,1.841042529049636,0.3333333333333333,1
48,12,3,185,0.6061902657789761,0.3355447106176655,3.487088236862132,9,1.7618684733764178,0.3333333333333333,1
49,12,3,185,0.6061902657789761,0.3355447106176655,3.487088236862132,10,1.091568985615467,0.3333333333333333,1
50,14,10,859,0.3270746252346087,0.4235079394900329,3.6849088174673295,1,1.46843606255932,0.1,1
51,14,10,859,0.3270746252346087,0.4235079394900329,3.6849088174673295,2,1.5736062797079815,0.1,1
52,14,10,859,0.3270746252346087,0.4235079394900329,3.6849088174673295,3,0.8298800519364541,0.1,1
53,14,10,859,0.3270746252346087,0.4235079394900329,3.6849088174673295,4,2.2685690723207994,0.1,1
54,14,10,859,0.3270746252346087,0.4235079394900329,3.6849088174673295,5,1.4039776857626582,0.1,1
55,14,10,859,0.3270746252346087,0.4235079394900329,3.6849088174673295,6,1.289165420655965,0.1,1
56,14,10,859,0.3270746252346087,0.4235079394900329,3.6849088174673295,7,1.9282388060859328,0.1,1
57,14,10,859,0.3270746252346087,0.4235079394900329,3.6849088174673295,8,2.276721437389328,0.1,1
58,14,10,859,0.3270746252346087,0.4235079394900329,3.6849088174673295,9,1.3200854284824153,0.1,1
59,14,10,859,0.3270746252346087,0.4235079394900329,3.6849088174673295,10,1.3329584090682505,0.1,1
60,16,4,484,0.7418387271682559,0.636466393096417,3.6797363898204316,1,0.8340944810861182,0.25,1
61,16,4,484,0.7418387271682559,0.636466393096417,3.6797363898204316,2,1.9361603882954697,0.25,1
62,16,4,484,0.7418387271682559,0.636466393096417,3.6797363898204316,3,1.2142866438526407,0.25,1
63,16,4,484,0.7418387271682559,0.636466393096417,3.6797363898204316,4,0.8090010563293323,0.25,1
64,16,4,484,0.7418387271682559,0.636466393096417,3.6797363898204316,5,1.5135839681838612,0.25,1
